Date,Close,High,Low,Open,Volume
2000-01-03,13.244405746459961,13.244405746459963,12.497203742245231,12.497203742245231,62409578
2000-01-04,14.304691314697266,14.304691314697266,13.223354030104224,13.596954264242214,132872110
2000-01-05,14.865091323852539,15.149238594314655,13.504869195691283,13.504869195691283,375789847
2000-01-06,15.488642692565918,15.82277965292534,15.207127861946772,15.207127861946772,219621124
2000-01-07,16.551559448242188,16.72783700275689,15.417602664071135,15.522842680450927,278281260
2000-01-10,16.233211517333984,16.769933555006226,16.064828877077197,16.701528590557295,187897934
2000-01-11,15.180816650390625,16.362132024356274,14.9361340915319,16.204272671684336,175675797
2000-01-12,15.875391960144043,16.0490369,14.846675387933749,15.20712114565617,169586471
2000-01-13,16.409486770629883,16.648908349462435,16.00168396648468,16.10166163671051,239139851
2000-01-14,16.643644332885742,16.925160487128664,16.285829696856794,16.285829696856794,188507616
2000-01-17,16.246368408203125,16.99093796740803,16.156914026931556,16.74625681828324,150255809
2000-01-18,16.533145904541016,16.78309081738908,16.07798467592501,16.25952321315505,141210936
2000-01-19,16.817289352416992,17.09617433154883,16.638382033833224,16.988303142980094,160790093
2000-01-20,16.46210289001465,17.09617121470876,16.341077249018657,16.838334285096103,216069957
2000-01-21,17.1724796295166,17.28035086090057,16.417385226458716,16.45421889408935,239994540
2000-01-24,17.16195297241211,17.461886014478594,16.943580780818856,17.127749082974837,184344232
2000-01-25,16.835704803466797,17.117220935606014,16.746251854254474,17.104065056646387,136584272
2000-01-26,16.835704803466797,16.835704803466797,16.835704803466797,16.835704803466797,0
2000-01-27,17.625,17.722345055995614,16.98040700799855,17.311911212304846,210269961
2000-01-28,17.803909301757812,17.99071014021925,17.44872585608027,17.67499152183921,164331247
2000-01-31,17.267189025878906,17.68025556972558,17.18299701142281,17.59869473141409,142723553
2000-02-01,17.5776424407959,17.756549725110073,17.25929269362593,17.406627277447917,149956451
2000-02-02,17.89862632751465,18.2538112128938,17.814435718581134,18.043331176702985,139355731
2000-02-03,17.977554321289062,18.07490220745718,17.701300529276377,17.99597255259641,94831223
2000-02-04,18.109106063842773,18.277488684464423,17.980188273660566,18.10121394108056,99528064
2000-02-07,18.080163955688477,18.38799046662517,17.788124500858338,17.948614993599712,114747088
2000-02-08,18.017019271850586,18.253808219578776,17.94598174420658,18.180139516221,90057597
2000-02-09,18.43798065185547,18.661613754759898,18.143308605045043,18.364311937381466,160165902
2000-02-10,18.71949577331543,19.143085618918537,18.148571307010595,18.353788992179798,151143675
2000-02-11,19.116775512695312,19.67980786341707,18.945761709847773,19.153610573894984,114214724
2000-02-14,18.527435302734375,18.99049001300949,18.41693292371025,18.890512339389055,71806185
2000-02-15,18.119630813598633,18.64845926170213,17.99860514587574,18.522171241762727,113776526
2000-02-16,18.319589614868164,18.616891511122372,18.053860434777167,18.416936129080323,110304203
2000-02-17,18.656352996826172,18.77474748975317,18.285382461220653,18.29590576022752,107425289
2000-02-18,18.387989044189453,18.8352580106689,18.31169056774761,18.780006129655547,70451511
2000-02-21,18.188034057617188,18.522169497674952,17.977554044204112,18.332738891145844,41234633
2000-02-22,17.59343147277832,18.259071214616444,17.496084988156934,18.206451911063535,100723088
2000-02-23,17.354013442993164,18.138049173328223,17.222464465265254,18.138049173328223,67665446
2000-02-24,17.719717025756836,17.92756444062123,17.327698560191447,17.517130556636793,79319185
2000-02-25,17.290864944458008,18.043327769268238,17.159316000838526,17.96439812198804,54786600
2000-02-28,17.52765464782715,17.74602677515954,16.31213718357566,17.093541568925033,70386208
2000-02-29,16.356863021850586,18.04069730657538,16.125336440195046,17.780229199441656,139625441
2000-03-01,16.669952392578125,17.356641503108495,15.733321253119415,16.575237089397522,150769883
2000-03-02,15.351825714111328,16.94357448396997,15.338669836315802,16.777821668086347,175562684
2000-03-03,14.125787734985352,15.054526915978986,14.125787734985352,15.054526915978986,64935300
2000-03-06,13.362800598144531,14.936133069516721,12.997093778731715,14.125788354212972,146075956
